file_id,domain,group,fs,n_points,channels,bearing,fault_type,fault_size,or_position,load,rpm_filename,duration_s,has_rpm_var,rpm,rpm_source,is_irregular,subset_tags
A,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
B,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
C,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
D,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
E,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
F,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
G,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
H,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
I,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
J,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
K,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
L,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
M,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
N,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
O,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
P,tgt,target,32000,256000,single,,,,,,,8.0,False,,none,False,
