feature,mutual_info,fisher_ratio,group
o_pk0_order,0.7775015657218372,0.0358219804992253,order
o_pk1_order,0.6254572383241359,0.05336273596123298,order
o_pk2_order,0.6156518429484383,0.2014602858456049,order
o_pk3_order,0.5482162960733612,0.1446999421798528,order
o_pk4_order,0.5058791370365265,0.09846641159706286,order
o_pk5_order,0.44856410282811554,0.02801095987031305,order
o_pk6_order,0.41255166773482976,0.0473322790316184,order
o_pk7_order,0.3595804651704413,0.022516331182913216,order
t_shape,0.2770758230593,0.33622771916046806,time
o_pk2_ratio,0.26815326338083056,0.04243404339203117,order
o_pk0_ratio,0.2674061633602185,0.02520631344846294,order
o_pk4_ratio,0.2536590956206344,0.04562514133852192,order
o_pk3_ratio,0.2530865574625354,0.043988670109725445,order
o_pk6_ratio,0.2467181238885161,0.053139245023699586,order
o_entropy,0.24297900242020964,0.2617967239336419,order
o_pk1_ratio,0.2373889432041847,0.032365627238385715,order
o_pk5_ratio,0.2362756831743995,0.0515823197951646,order
t_kurtosis,0.22792138346563195,0.16859641293403096,time
o_pk0_amp,0.22613797963503957,0.24371882812476126,order
o_gini,0.22404045552040208,0.2156765955144867,order
o_pk7_ratio,0.22174917462891663,0.057864471211655555,order
o_bandfrac4,0.21923107128852393,0.07957170086880132,order
t_clearance,0.2126779203470388,0.19663937469435697,time
o_crest,0.206239288166979,0.24395824665584764,order
o_shaft3,0.19855154170376266,0.0957759995374591,order
t_skewness,0.19114548525287622,0.41454990321133456,time
t_peak_rel,0.1682365813718525,0.007308593324418932,time
o_pk1_amp,0.16135926997802064,0.2418006383978139,order
t_impulse,0.15681607534577213,0.18737125664465443,time
o_kurtosis,0.15483606201368794,0.35116530712280886,order
t_p2p_rel,0.14421646350498074,0.005578440266832148,time
o_shaft1,0.12895894539544184,0.20325047115472283,order
o_pk2_amp,0.12732515888679563,0.32160371102783264,order
o_bandfrac0,0.11144706197592291,0.016410331600646776,order
o_bandfrac1,0.10235194972405881,0.008877791833437197,order
o_pk3_amp,0.10194142685953556,0.2115272283424959,order
o_shaft2,0.09999252268507597,0.1065405067523989,order
t_mean_abs_rel,0.09297530114489083,0.002089795665540876,time
t_std_rel,0.0928722051528299,0.002208916088546282,time
t_rms_rel,0.0928286920514394,0.002208916088546282,time
t_var_rel,0.09248990778538801,0.00871019650724362,time
o_bandfrac3,0.09127169699502624,0.04893786597272607,order
o_pk6_amp,0.0908131373440264,0.048064444059492735,order
o_pk5_amp,0.08955133410090355,0.07975574256322404,order
o_bandfrac2,0.08888248384886266,0.08722998585752621,order
t_crest,0.08391907079602934,0.1750368082272291,time
o_pk4_amp,0.07636941498993521,0.1486765843507452,order
o_pk7_amp,0.07005082240666782,0.022835690101499627,order
o_shaft21,0.021515006965908245,0.003431459122703681,order
