feature,spearman_rho,p_value,group
o_shaft3,0.11244305580671805,4.5473865277189093e-13,order
o_shaft21,-0.10895123692656614,2.34872324104856e-12,order
o_pk4_amp,-0.10757315549469697,4.42729621041738e-12,order
o_pk6_amp,-0.10414944905606568,2.0662115981387628e-11,order
o_pk5_amp,-0.1033772705387725,2.9048928002853237e-11,order
o_kurtosis,0.10140272072659869,6.863731334424444e-11,order
o_bandfrac1,-0.09619386658321508,6.136070991350746e-10,order
o_pk7_amp,-0.08992836722313229,7.3721558162518e-09,order
o_shaft1,0.07877043050043274,4.140364476149857e-07,order
o_bandfrac2,-0.06943069262937174,8.173254643708932e-06,order
o_pk3_amp,-0.05974131678093157,0.00012460074819665352,order
o_bandfrac0,0.05944197352594969,0.000134737907766379,order
o_pk6_order,0.05901361783419867,0.00015060223873716343,order
o_crest,0.058659446919432916,0.00016503008828422437,order
t_kurtosis,-0.058253026439844306,0.00018318553248204448,time
t_impulse,-0.054616493694549094,0.0004527886032177064,time
t_clearance,-0.05456461055116477,0.00045849990759978793,time
t_crest,-0.05224566695066045,0.0007942869033125228,time
o_shaft2,-0.05133703913973652,0.0009794786666821622,order
o_pk0_order,-0.043436696132498724,0.00529443951454371,order
t_shape,-0.04188149319053041,0.0071747875643473616,time
o_pk0_amp,0.04113251549405853,0.00827841922704973,order
o_entropy,0.038165782041444,0.014289395978932974,order
o_pk7_ratio,-0.035810135912707174,0.021528060389040652,order
o_pk6_ratio,-0.03071460404216587,0.04868361800024751,order
o_pk4_order,0.026404816284037777,0.0901450487763943,order
o_gini,-0.025003148451187514,0.10857160043098564,order
o_pk4_ratio,-0.02339022757348088,0.13332876608824526,order
t_peak_rel,0.02332422825192888,0.1344279087096779,time
o_pk5_ratio,-0.023284995005639686,0.13508460435148606,order
o_bandfrac4,0.02196667216122138,0.15862178715096684,order
o_pk5_order,0.020247155769832832,0.19382466677809312,order
t_mean_abs_rel,0.019495798358981173,0.2108905547409315,time
o_pk3_ratio,-0.015605292968231571,0.31662500817382117,order
o_pk3_order,0.015236691825753797,0.32819255774598244,order
o_pk2_amp,-0.014165849647498266,0.3633309678177724,order
t_skewness,-0.013157270959896376,0.39849675518681926,time
o_pk1_order,-0.011959749545096064,0.44280946124951637,order
o_pk0_ratio,0.010985866871248192,0.48083536511611114,order
o_pk2_order,0.009172011766692651,0.5561566552376919,order
o_pk2_ratio,-0.008931425340979493,0.5665628432519776,order
o_pk1_ratio,-0.007687866058526232,0.6217862515014598,order
t_std_rel,0.007349004682483817,0.637229848836093,time
t_rms_rel,0.007349004682483817,0.637229848836093,time
t_var_rel,0.007343967367387671,0.6374606386913182,time
o_pk1_amp,-0.005074987678875083,0.7446871854260069,order
o_bandfrac3,-0.004890104490249179,0.7536813950284721,order
t_p2p_rel,-0.00325501003489581,0.8345518939022014,time
o_pk7_order,0.001889921624955942,0.90347549804407,order
