file_id,fs,band_lo,band_hi,fr_prior,fr_hps,prom_hps,fr_comb,prom_comb,fr_final,rpm_final,method
A,32000,5875.0,14375.0,10.0,9.619999999999976,4.844032172966101,11.469999999999937,1.4215321679640371,9.619999999999976,577.1999999999986,hps
B,32000,8250.0,12750.0,10.0,9.619999999999976,4.9083790004073595,8.749999999999995,1.0377541724358683,9.619999999999976,577.1999999999986,hps
C,32000,750.0,12250.0,10.0,9.619999999999976,2.8636317308040757,11.139999999999944,1.6910891102438461,10.0,600.0,prior
D,32000,11000.0,11625.0,10.0,9.619999999999976,5.015989078685981,9.229999999999984,1.8351571995672267,9.619999999999976,577.1999999999986,hps
E,32000,875.0,11250.0,10.0,9.619999999999976,3.7400407419497004,11.089999999999945,1.7448409958345963,9.619999999999976,577.1999999999986,hps
F,32000,12875.0,14375.0,10.0,9.619999999999976,4.707190234619264,8.92999999999999,2.902428324337159,9.619999999999976,577.1999999999986,hps
G,32000,7250.0,12875.0,10.0,9.619999999999976,4.814688543768852,11.179999999999943,1.469610233107536,9.619999999999976,577.1999999999986,hps
H,32000,12000.0,14375.0,10.0,9.619999999999976,4.723983031536748,8.719999999999995,1.8956994358599857,9.619999999999976,577.1999999999986,hps
I,32000,750.0,13000.0,10.0,9.599999999999977,4.307054906971728,10.81999999999995,1.5875701904567472,9.599999999999977,575.9999999999986,hps
J,32000,3250.0,6000.0,10.0,9.599999999999977,4.359248137487591,10.81999999999995,1.1036092852485593,9.599999999999977,575.9999999999986,hps
K,32000,11375.0,14250.0,10.0,9.619999999999976,5.025435485562846,10.37999999999996,1.5792471551836147,9.619999999999976,577.1999999999986,hps
L,32000,5250.0,14125.0,10.0,9.629999999999976,4.916593920716824,9.859999999999971,1.6597375351134303,9.629999999999976,577.7999999999986,hps
M,32000,13750.0,14375.0,10.0,9.599999999999977,5.06113984490992,9.639999999999976,1.571327229753567,9.599999999999977,575.9999999999986,hps
N,32000,875.0,12000.0,10.0,9.619999999999976,4.83720499523205,9.629999999999976,0.9582674274192372,9.619999999999976,577.1999999999986,hps
O,32000,10125.0,14375.0,10.0,9.619999999999976,4.592702848434681,9.39999999999998,2.131025043217325,9.619999999999976,577.1999999999986,hps
P,32000,12625.0,14375.0,10.0,9.619999999999976,4.873499520756634,8.619999999999997,1.3952674706425263,9.619999999999976,577.1999999999986,hps
