group,order_key,rpm_low,rpm_high,order_low,order_high,theo,rel_gap
B007,BSF,1722.0,1796.0,2.439,2.406,2.357,0.0143
B014,BSF,1724.0,1796.0,2.367,2.205,2.357,0.0687
B021,BSF,1729.0,1796.0,2.43,2.406,2.357,0.0101
B028,BSF,1730.0,1797.0,2.428,2.404,2.357,0.0101
IR007,BPFI,1721.0,1797.0,5.37,5.41,5.415,0.0074
IR014,BPFI,1728.0,1796.0,5.417,5.413,5.415,0.0008
IR021,BPFI,1728.0,1797.0,5.417,5.41,5.415,0.0014
IR028,BPFI,1730.0,1797.0,5.689,5.343,5.415,0.0639
OR007,BPFO,1724.0,1797.0,3.62,3.607,3.585,0.0038
OR014,BPFO,1723.0,1796.0,3.413,3.341,3.585,0.0201
OR021,BPFO,1718.0,1796.0,3.632,3.608,3.585,0.0066
