file_id,label,confidence,label_unconstrained,label_balanced,from_constraint_only,seed_agreement,score_margin,nearest_proto_unalianged,nearest_proto_aligned,proto_agree,score_B,score_IR,score_OR,score_N
A,OR,0.7953,OR,IR,False,1.0,0.9845,OR,N,0.0,0.0102,0.0155,0.9743,0.0
B,B,0.987,B,B,False,1.0,0.9566,OR,B,1.0,0.9493,0.0092,0.0415,0.0
C,OR,0.9941,OR,B,False,1.0,0.9805,OR,OR,1.0,0.0195,0.0,0.9805,0.0
D,OR,0.7969,OR,OR,False,1.0,0.9898,OR,N,0.0,0.0104,0.0039,0.9809,0.0049
E,OR,0.9988,OR,OR,False,1.0,0.9961,OR,OR,1.0,0.0042,0.0002,0.9953,0.0003
F,OR,0.7963,OR,B,False,1.0,0.9877,OR,N,0.0,0.0123,0.0046,0.9785,0.0046
G,IR,0.738,IR,N,False,1.0,0.7934,OR,B,0.0,0.0041,0.8252,0.1707,0.0
H,IR,0.7895,IR,IR,False,1.0,0.9649,OR,N,0.0,0.002,0.9634,0.0342,0.0004
I,OR,1.0,OR,OR,False,1.0,1.0,OR,OR,1.0,0.0003,0.0,0.9997,0.0
J,OR,0.9993,OR,OR,False,1.0,0.9976,OR,OR,1.0,0.0028,0.0,0.9972,0.0
K,OR,0.7692,OR,B,False,1.0,0.8975,OR,N,0.0,0.0003,0.0932,0.9065,0.0
L,IR,0.7863,IR,IR,False,1.0,0.9542,OR,B,0.0,0.0431,0.9349,0.0221,0.0
M,IR,0.7491,IR,N,False,1.0,0.8303,OR,N,0.0,0.0001,0.8545,0.1452,0.0002
N,OR,0.9935,OR,IR,False,1.0,0.9784,OR,OR,1.0,0.0002,0.0214,0.9772,0.0011
O,OR,0.7709,OR,N,False,1.0,0.903,OR,B,0.0,0.0298,0.086,0.884,0.0002
P,N,0.9948,OR,N,True,1.0,0.9826,OR,N,1.0,0.0172,0.0067,0.9706,0.0055
