file_id,label,method_consensus,n_methods,window_agreement,peak_order_mean,peak_order_top,mech_hint,mech_OR,mech_IR,mech_B,mech_N,mech_agree,cluster,cluster_agree,confidence
A,OR,0.75,12,0.8225806451612904,14.367757658342285,11.021933387489844,IR,0.024675838113701765,0.0292269089179984,0.0290019372372381,,0.0,2,1.0,0.6218
B,B,0.75,12,0.6532258064516129,4.855218678755797,1.0398050365556455,B,0.029626817420782152,0.030087050122018368,0.04268127200403616,,1.0,2,1.0,0.771
C,OR,1.0,12,0.9838709677419355,8.391935483870967,1.0,B,0.0,0.0,0.0322165011224712,,0.0,3,0.0,0.7952
D,OR,0.75,12,0.717741935483871,11.322135164172847,1.0398050365556455,OR,0.02948183680820514,0.024858446044563245,0.026935997531255557,,1.0,2,1.0,0.7903
E,OR,1.0,12,1.0,6.238830219333873,1.0398050365556455,B,0.0,0.0,0.06019394203470386,,0.0,3,0.0,0.8
F,OR,0.75,12,0.7741935483870969,12.46759780928173,13.517465475223394,B,0.030583479349099725,0.027726489539645124,0.030751767256468183,,0.0,2,1.0,0.6073
G,B,0.75,12,0.6290322580645161,8.497890516495898,2.0796100731112914,B,0.03152952016471332,0.03153814741443679,0.03678957603309207,,1.0,2,1.0,0.7637
H,OR,0.5,12,0.9193548387096775,13.651633867037022,8.526401299756296,IR,0.0235688448974948,0.024780578068485538,0.0,,0.0,0,0.0,0.5258
I,OR,1.0,12,0.8870967741935484,10.468845224335402,1.0423452768729642,OR,0.0,0.0,0.0,,1.0,1,0.0,0.9661
J,OR,1.0,12,0.8387096774193549,10.65377745087738,1.0423452768729642,OR,0.0,0.0,0.0,,1.0,1,0.0,0.9516
K,OR,1.0,12,0.8870967741935484,11.624014045753519,8.526401299756296,OR,0.035415220954165647,0.030541642652789802,0.027818403306188733,,1.0,2,1.0,0.9661
L,OR,1.0,12,0.5887096774193549,8.997067448680351,1.2467532467532467,B,0.026979813050606354,0.025429337202707066,0.0283597578691612,,0.0,2,1.0,0.6766
M,OR,0.75,12,0.8064516129032259,14.466743721761064,8.547231270358306,IR,0.02345044674553893,0.024153690362540302,0.0168311447586873,,0.0,0,0.0,0.6169
N,B,0.5,12,0.6693548387096774,11.80346426980425,8.526401299756296,OR,0.02917343027972715,0.0223168601307165,0.0271860865416773,,0.0,1,0.0,0.4508
O,OR,1.0,12,0.45161290322580644,7.367521815466053,1.0398050365556455,B,0.0292632091048756,0.030976614825158278,0.03344154759885485,,0.0,2,1.0,0.6355
P,OR,0.75,12,0.7903225806451614,13.505725740939699,13.933387489845654,B,0.02499501694894765,0.02391730165744885,0.026673719906863375,,0.0,2,1.0,0.6121
