method,iter,n_pseudo,class_dist,mean_conf
M6,0,462,"[98, 17, 347, 0]",0.9422459459757332
M6,1,489,"[106, 18, 365, 0]",0.9893921285821752
M6,2,493,"[107, 18, 368, 0]",0.9962031073739414
M6,3,495,"[109, 18, 368, 0]",0.9979722589881408
M6,4,496,"[109, 19, 368, 0]",0.9997789222238825
M6,0,462,"[98, 17, 347, 0]",0.9422459459757332
M6,1,489,"[106, 18, 365, 0]",0.9893921285821752
M6,2,493,"[107, 18, 368, 0]",0.9962031073739414
M6,3,495,"[109, 18, 368, 0]",0.9979722589881408
M6,4,496,"[109, 19, 368, 0]",0.9997789222238825
M6,0,462,"[98, 17, 347, 0]",0.9422459459757332
M6,1,489,"[106, 18, 365, 0]",0.9893921285821752
M6,2,493,"[107, 18, 368, 0]",0.9962031073739414
M6,3,495,"[109, 18, 368, 0]",0.9979722589881408
M6,4,496,"[109, 19, 368, 0]",0.9997789222238825
