proxy,fold,method,seed,n_source_files,n_target_files,macro_f1,accuracy,n_classes,f1_B,recall_B,f1_IR,recall_IR,f1_OR,recall_OR,f1_N,recall_N
A_P2,load0,N0,0,120,41,0.39823881408948725,0.5365853658536586,4,0.7777777777777778,0.7,0.21052631578947367,0.2,0.6046511627906976,0.65,0.0,0.0
A_P2,load0,N0,1,120,41,0.39823881408948725,0.5365853658536586,4,0.7777777777777778,0.7,0.21052631578947367,0.2,0.6046511627906976,0.65,0.0,0.0
A_P2,load0,N0,2,120,41,0.39823881408948725,0.5365853658536586,4,0.7777777777777778,0.7,0.21052631578947367,0.2,0.6046511627906976,0.65,0.0,0.0
A_P2,load0,N6,0,120,41,0.39823881408948725,0.5365853658536586,4,0.7777777777777778,0.7,0.21052631578947367,0.2,0.6046511627906976,0.65,0.0,0.0
A_P2,load0,N6,1,120,41,0.39823881408948725,0.5365853658536586,4,0.7777777777777778,0.7,0.21052631578947367,0.2,0.6046511627906976,0.65,0.0,0.0
A_P2,load0,N6,2,120,41,0.39823881408948725,0.5365853658536586,4,0.7777777777777778,0.7,0.21052631578947367,0.2,0.6046511627906976,0.65,0.0,0.0
A_P2,load1,N0,0,121,40,0.4476284584980237,0.575,4,0.6363636363636364,0.7,0.6086956521739131,0.7,0.5454545454545454,0.47368421052631576,0.0,0.0
A_P2,load1,N0,1,121,40,0.4476284584980237,0.575,4,0.6363636363636364,0.7,0.6086956521739131,0.7,0.5454545454545454,0.47368421052631576,0.0,0.0
A_P2,load1,N0,2,121,40,0.4476284584980237,0.575,4,0.6363636363636364,0.7,0.6086956521739131,0.7,0.5454545454545454,0.47368421052631576,0.0,0.0
A_P2,load1,N6,0,121,40,0.4476284584980237,0.575,4,0.6363636363636364,0.7,0.6086956521739131,0.7,0.5454545454545454,0.47368421052631576,0.0,0.0
A_P2,load1,N6,1,121,40,0.4476284584980237,0.575,4,0.6363636363636364,0.7,0.6086956521739131,0.7,0.5454545454545454,0.47368421052631576,0.0,0.0
A_P2,load1,N6,2,121,40,0.4476284584980237,0.575,4,0.6363636363636364,0.7,0.6086956521739131,0.7,0.5454545454545454,0.47368421052631576,0.0,0.0
A_P2,load2,N0,0,121,40,0.46969696969696967,0.575,4,0.7777777777777778,0.7,0.5454545454545454,0.6,0.5555555555555556,0.5263157894736842,0.0,0.0
A_P2,load2,N0,1,121,40,0.46969696969696967,0.575,4,0.7777777777777778,0.7,0.5454545454545454,0.6,0.5555555555555556,0.5263157894736842,0.0,0.0
A_P2,load2,N0,2,121,40,0.46969696969696967,0.575,4,0.7777777777777778,0.7,0.5454545454545454,0.6,0.5555555555555556,0.5263157894736842,0.0,0.0
A_P2,load2,N6,0,121,40,0.46969696969696967,0.575,4,0.7777777777777778,0.7,0.5454545454545454,0.6,0.5555555555555556,0.5263157894736842,0.0,0.0
A_P2,load2,N6,1,121,40,0.46969696969696967,0.575,4,0.7777777777777778,0.7,0.5454545454545454,0.6,0.5555555555555556,0.5263157894736842,0.0,0.0
A_P2,load2,N6,2,121,40,0.46969696969696967,0.575,4,0.7777777777777778,0.7,0.5454545454545454,0.6,0.5555555555555556,0.5263157894736842,0.0,0.0
A_P2,load3,N0,0,121,40,0.38908250355618773,0.5,4,0.7,0.7,0.3157894736842105,0.3,0.5405405405405406,0.5263157894736842,0.0,0.0
A_P2,load3,N0,1,121,40,0.38908250355618773,0.5,4,0.7,0.7,0.3157894736842105,0.3,0.5405405405405406,0.5263157894736842,0.0,0.0
A_P2,load3,N0,2,121,40,0.38908250355618773,0.5,4,0.7,0.7,0.3157894736842105,0.3,0.5405405405405406,0.5263157894736842,0.0,0.0
A_P2,load3,N6,0,121,40,0.38908250355618773,0.5,4,0.7,0.7,0.3157894736842105,0.3,0.5405405405405406,0.5263157894736842,0.0,0.0
A_P2,load3,N6,1,121,40,0.38908250355618773,0.5,4,0.7,0.7,0.3157894736842105,0.3,0.5405405405405406,0.5263157894736842,0.0,0.0
A_P2,load3,N6,2,121,40,0.38908250355618773,0.5,4,0.7,0.7,0.3157894736842105,0.3,0.5405405405405406,0.5263157894736842,0.0,0.0
A_P3,12k_to_48k,N0,0,105,52,0.5564373897707231,0.5576923076923077,3,0.7407407407407407,0.8333333333333334,0.35714285714285715,0.4166666666666667,0.5714285714285714,0.5,,
A_P3,12k_to_48k,N0,1,105,52,0.5564373897707231,0.5576923076923077,3,0.7407407407407407,0.8333333333333334,0.35714285714285715,0.4166666666666667,0.5714285714285714,0.5,,
A_P3,12k_to_48k,N0,2,105,52,0.5564373897707231,0.5576923076923077,3,0.7407407407407407,0.8333333333333334,0.35714285714285715,0.4166666666666667,0.5714285714285714,0.5,,
A_P3,12k_to_48k,N6,0,105,52,0.5564373897707231,0.5576923076923077,3,0.7407407407407407,0.8333333333333334,0.35714285714285715,0.4166666666666667,0.5714285714285714,0.5,,
A_P3,12k_to_48k,N6,1,105,52,0.5564373897707231,0.5576923076923077,3,0.7407407407407407,0.8333333333333334,0.35714285714285715,0.4166666666666667,0.5714285714285714,0.5,,
A_P3,12k_to_48k,N6,2,105,52,0.5564373897707231,0.5576923076923077,3,0.7407407407407407,0.8333333333333334,0.35714285714285715,0.4166666666666667,0.5714285714285714,0.5,,
A_P3,48k_to_12k,N0,0,52,105,0.476130198915009,0.5142857142857142,3,0.5714285714285714,0.9285714285714286,0.3,0.21428571428571427,0.5569620253164557,0.4489795918367347,,
A_P3,48k_to_12k,N0,1,52,105,0.476130198915009,0.5142857142857142,3,0.5714285714285714,0.9285714285714286,0.3,0.21428571428571427,0.5569620253164557,0.4489795918367347,,
A_P3,48k_to_12k,N0,2,52,105,0.476130198915009,0.5142857142857142,3,0.5714285714285714,0.9285714285714286,0.3,0.21428571428571427,0.5569620253164557,0.4489795918367347,,
A_P3,48k_to_12k,N6,0,52,105,0.476130198915009,0.5142857142857142,3,0.5714285714285714,0.9285714285714286,0.3,0.21428571428571427,0.5569620253164557,0.4489795918367347,,
A_P3,48k_to_12k,N6,1,52,105,0.476130198915009,0.5142857142857142,3,0.5714285714285714,0.9285714285714286,0.3,0.21428571428571427,0.5569620253164557,0.4489795918367347,,
A_P3,48k_to_12k,N6,2,52,105,0.476130198915009,0.5142857142857142,3,0.5714285714285714,0.9285714285714286,0.3,0.21428571428571427,0.5569620253164557,0.4489795918367347,,
A_P4,DE_to_FE,N0,0,60,45,0.3241935483870968,0.3333333333333333,3,0.4,0.5833333333333334,0.25,0.25,0.3225806451612903,0.23809523809523808,,
A_P4,DE_to_FE,N0,1,60,45,0.3241935483870968,0.3333333333333333,3,0.4,0.5833333333333334,0.25,0.25,0.3225806451612903,0.23809523809523808,,
A_P4,DE_to_FE,N0,2,60,45,0.3241935483870968,0.3333333333333333,3,0.4,0.5833333333333334,0.25,0.25,0.3225806451612903,0.23809523809523808,,
