proxy,fold,method,seed,n_source_files,n_target_files,n_source_windows,n_target_windows,n_features,fit_seconds,macro_f1,accuracy,n_classes,f1_B,f1_IR,f1_OR,f1_N,recall_B,recall_IR,recall_OR,recall_N
A_P2,load0,M0,0,120,41,3104,1016,49,4.222290277481079,0.6701219739170607,0.8572834645669292,4,0.7586206896551724,0.9388560157790927,0.8830111902339777,0.1,0.7557251908396947,0.9482071713147411,0.8966942148760331,0.05263157894736842
A_P2,load1,M0,0,121,40,3080,1040,49,3.978595495223999,0.9104120400716685,0.8951923076923077,4,0.8015564202334631,0.9429657794676806,0.9129989764585466,0.9841269841269841,0.7862595419847328,0.9465648854961832,0.9195876288659793,1.0
A_P2,load2,M0,0,121,40,3088,1032,49,4.022546291351318,0.6602458329249412,0.8662790697674418,4,0.797962648556876,0.9463220675944334,0.8966986155484558,0.0,0.8969465648854962,0.9083969465648855,0.8825995807127882,0.0
A_P2,load3,M0,0,121,40,3088,1032,49,4.152170896530151,0.8981295579892432,0.874031007751938,4,0.8175438596491228,0.9097888675623801,0.881578947368421,0.9836065573770492,0.8893129770992366,0.9045801526717557,0.8427672955974843,0.967741935483871
A_P2,load0,M0,1,120,41,3104,1016,49,3.797475814819336,0.6701219739170607,0.8572834645669292,4,0.7586206896551724,0.9388560157790927,0.8830111902339777,0.1,0.7557251908396947,0.9482071713147411,0.8966942148760331,0.05263157894736842
A_P2,load1,M0,1,121,40,3080,1040,49,3.9927380084991455,0.9104120400716685,0.8951923076923077,4,0.8015564202334631,0.9429657794676806,0.9129989764585466,0.9841269841269841,0.7862595419847328,0.9465648854961832,0.9195876288659793,1.0
A_P2,load2,M0,1,121,40,3088,1032,49,4.614365339279175,0.6602458329249412,0.8662790697674418,4,0.797962648556876,0.9463220675944334,0.8966986155484558,0.0,0.8969465648854962,0.9083969465648855,0.8825995807127882,0.0
A_P2,load3,M0,1,121,40,3088,1032,49,4.056103706359863,0.8981295579892432,0.874031007751938,4,0.8175438596491228,0.9097888675623801,0.881578947368421,0.9836065573770492,0.8893129770992366,0.9045801526717557,0.8427672955974843,0.967741935483871
A_P2,load0,M1,0,120,41,3104,1016,49,4.436357021331787,0.6226202268781903,0.7893700787401575,4,0.7431340872374798,0.8390804597701149,0.8082663605051664,0.1,0.8778625954198473,0.8725099601593626,0.7272727272727273,0.05263157894736842
A_P2,load1,M1,0,121,40,3080,1040,49,3.859010696411133,0.8813909899871064,0.8673076923076923,4,0.7311827956989247,0.9117647058823529,0.899009900990099,0.9836065573770492,0.648854961832061,0.9465648854961832,0.9360824742268041,0.967741935483871
A_P2,load2,M1,0,121,40,3088,1032,49,4.273036003112793,0.6604907768169195,0.8624031007751938,4,0.7883683360258481,0.9647058823529412,0.8888888888888888,0.0,0.9312977099236641,0.9389312977099237,0.8385744234800838,0.0
A_P2,load3,M1,0,121,40,3088,1032,49,3.967299222946167,0.8264730017500238,0.813953488372093,4,0.7613293051359517,0.8599221789883269,0.8235294117647058,0.8611111111111112,0.9618320610687023,0.8435114503816794,0.7044025157232704,1.0
A_P2,load0,M1,1,120,41,3104,1016,49,3.775380849838257,0.6226202268781903,0.7893700787401575,4,0.7431340872374798,0.8390804597701149,0.8082663605051664,0.1,0.8778625954198473,0.8725099601593626,0.7272727272727273,0.05263157894736842
A_P2,load1,M1,1,121,40,3080,1040,49,4.323549032211304,0.8813909899871064,0.8673076923076923,4,0.7311827956989247,0.9117647058823529,0.899009900990099,0.9836065573770492,0.648854961832061,0.9465648854961832,0.9360824742268041,0.967741935483871
