file_id,pred,agree,n_win,method,seed
A,OR,0.967741935483871,31,M0,0
B,B,0.7419354838709677,31,M0,0
C,OR,1.0,31,M0,0
D,OR,0.7741935483870968,31,M0,0
E,OR,1.0,31,M0,0
F,OR,0.967741935483871,31,M0,0
G,B,0.6451612903225806,31,M0,0
H,IR,0.967741935483871,31,M0,0
I,OR,1.0,31,M0,0
J,OR,1.0,31,M0,0
K,OR,0.8387096774193549,31,M0,0
L,OR,0.4838709677419355,31,M0,0
M,OR,0.967741935483871,31,M0,0
N,OR,0.6451612903225806,31,M0,0
O,OR,0.45161290322580644,31,M0,0
P,OR,0.967741935483871,31,M0,0
A,OR,0.967741935483871,31,M0,1
B,B,0.7419354838709677,31,M0,1
C,OR,1.0,31,M0,1
D,OR,0.7741935483870968,31,M0,1
E,OR,1.0,31,M0,1
F,OR,0.967741935483871,31,M0,1
G,B,0.6451612903225806,31,M0,1
H,IR,0.967741935483871,31,M0,1
I,OR,1.0,31,M0,1
J,OR,1.0,31,M0,1
K,OR,0.8387096774193549,31,M0,1
L,OR,0.4838709677419355,31,M0,1
M,OR,0.967741935483871,31,M0,1
N,OR,0.6451612903225806,31,M0,1
O,OR,0.45161290322580644,31,M0,1
P,OR,0.967741935483871,31,M0,1
A,OR,0.967741935483871,31,M0,2
B,B,0.7419354838709677,31,M0,2
C,OR,1.0,31,M0,2
D,OR,0.7741935483870968,31,M0,2
E,OR,1.0,31,M0,2
F,OR,0.967741935483871,31,M0,2
G,B,0.6451612903225806,31,M0,2
H,IR,0.967741935483871,31,M0,2
I,OR,1.0,31,M0,2
J,OR,1.0,31,M0,2
K,OR,0.8387096774193549,31,M0,2
L,OR,0.4838709677419355,31,M0,2
M,OR,0.967741935483871,31,M0,2
N,OR,0.6451612903225806,31,M0,2
O,OR,0.45161290322580644,31,M0,2
P,OR,0.967741935483871,31,M0,2
A,OR,0.8387096774193549,31,M6,0
B,B,0.5806451612903226,31,M6,0
C,OR,0.967741935483871,31,M6,0
D,OR,0.8064516129032258,31,M6,0
E,OR,1.0,31,M6,0
F,OR,0.8064516129032258,31,M6,0
G,B,0.5806451612903226,31,M6,0
H,OR,1.0,31,M6,0
I,OR,0.9032258064516129,31,M6,0
J,OR,0.7096774193548387,31,M6,0
K,OR,1.0,31,M6,0
L,OR,0.6774193548387096,31,M6,0
M,OR,0.967741935483871,31,M6,0
N,B,0.7419354838709677,31,M6,0
O,OR,0.41935483870967744,31,M6,0
P,OR,0.8064516129032258,31,M6,0
A,OR,0.8387096774193549,31,M6,1
B,B,0.5806451612903226,31,M6,1
C,OR,0.967741935483871,31,M6,1
D,OR,0.8064516129032258,31,M6,1
E,OR,1.0,31,M6,1
F,OR,0.8064516129032258,31,M6,1
G,B,0.5806451612903226,31,M6,1
H,OR,1.0,31,M6,1
I,OR,0.9032258064516129,31,M6,1
J,OR,0.7096774193548387,31,M6,1
K,OR,1.0,31,M6,1
L,OR,0.6774193548387096,31,M6,1
M,OR,0.967741935483871,31,M6,1
N,B,0.7419354838709677,31,M6,1
O,OR,0.41935483870967744,31,M6,1
P,OR,0.8064516129032258,31,M6,1
A,OR,0.8387096774193549,31,M6,2
B,B,0.5806451612903226,31,M6,2
C,OR,0.967741935483871,31,M6,2
D,OR,0.8064516129032258,31,M6,2
E,OR,1.0,31,M6,2
F,OR,0.8064516129032258,31,M6,2
G,B,0.5806451612903226,31,M6,2
H,OR,1.0,31,M6,2
I,OR,0.9032258064516129,31,M6,2
J,OR,0.7096774193548387,31,M6,2
K,OR,1.0,31,M6,2
L,OR,0.6774193548387096,31,M6,2
M,OR,0.967741935483871,31,M6,2
N,B,0.7419354838709677,31,M6,2
O,OR,0.41935483870967744,31,M6,2
P,OR,0.8064516129032258,31,M6,2
A,OR,0.8387096774193549,31,M2,0
B,B,0.5806451612903226,31,M2,0
C,OR,0.967741935483871,31,M2,0
D,OR,0.8064516129032258,31,M2,0
E,OR,1.0,31,M2,0
F,OR,0.7096774193548387,31,M2,0
G,B,0.5483870967741935,31,M2,0
H,OR,1.0,31,M2,0
I,OR,0.8709677419354839,31,M2,0
J,OR,0.6451612903225806,31,M2,0
K,OR,0.967741935483871,31,M2,0
L,OR,0.6451612903225806,31,M2,0
M,OR,0.967741935483871,31,M2,0
N,B,0.7419354838709677,31,M2,0
