protocol,removed,n_features,macro_f1,delta
P1,-,91,0.7673437491909304,0.0
P1,time_dimensionless,79,0.7750206381673279,0.007676888976397511
P1,time_raw_dim,85,0.7419748894851301,-0.025368859705800273
P1,freq_absolute,75,0.7154230476896796,-0.05192070150125083
P1,order_generic,54,0.8320292110069353,0.06468546181600487
P1,order_theoretical,71,0.7590179103343642,-0.008325838856566237
P3,-,91,0.6048744263234347,0.0
P3,time_dimensionless,79,0.6107850126289456,0.00591058630551089
P3,time_raw_dim,85,0.6439515304421439,0.03907710411870924
P3,freq_absolute,75,0.6267826852859543,0.021908258962519578
P3,order_generic,54,0.5908655199521728,-0.014008906371261842
P3,order_theoretical,71,0.5784070183144081,-0.026467408009026583
P4,-,91,0.42730678733132277,0.0
P4,time_dimensionless,79,0.4927322858359814,0.06542549850465862
P4,time_raw_dim,85,0.3721106546432875,-0.05519613268803525
P4,freq_absolute,75,0.40109636682772015,-0.026210420503602616
P4,order_generic,54,0.32985731549694697,-0.0974494718343758
P4,order_theoretical,71,0.33301509291823195,-0.09429169441309082
