feature,importance
o_pk0_order,0.10409390264160681
t_kurtosis,0.07851966565946336
t_skewness,0.07008526697654453
t_shape,0.05625119633420985
o_shaft3,0.020405503915808938
t_clearance,0.009699810958438438
o_pk0_amp,0.006989150225759286
o_bandfrac1,0.006703263813494112
t_crest,0.006143538402281251
t_impulse,0.005441980063338822
t_p2p_rel,0.0052516675809077705
o_kurtosis,0.0043886758963774695
o_shaft1,0.0043540585501948585
o_crest,0.004092445927663613
o_pk0_ratio,0.002802557418451315
o_bandfrac3,0.002798705219920075
o_pk2_order,0.0027894020171072677
o_pk3_order,0.002735092160275526
o_pk2_amp,0.002547727344379225
t_rms_rel,0.0023855800510417914
o_pk1_order,0.0021018606789400597
o_pk1_ratio,0.002038837596836515
o_pk3_amp,0.0018195801899516585
o_pk2_ratio,0.0017514267153227153
o_pk5_order,0.0017357387004888175
o_pk4_ratio,0.0016361565281900413
o_pk7_amp,0.0014434042405899988
o_pk6_order,0.0013884948542446124
o_shaft2,0.000995680258681353
t_std_rel,0.000972482161560137
o_pk5_ratio,0.0007026809392649186
o_pk3_ratio,0.0006962522911790503
t_mean_abs_rel,0.000676929599719514
o_shaft21,0.0006305341951827276
t_var_rel,0.0006068201341712598
t_peak_rel,0.0005128423827410022
o_entropy,0.000429492387472008
o_pk5_amp,0.0003964108278263406
o_bandfrac0,0.00023969225745917866
o_pk6_amp,0.00022987579746202303
o_pk4_order,0.00022864766321644415
o_pk1_amp,7.011557711680827e-06
o_pk7_ratio,2.610899839505798e-06
o_gini,-6.12659386085429e-05
o_bandfrac4,-0.00041605820721954954
o_pk4_amp,-0.0006076090270480006
o_pk7_order,-0.0007476770248190601
o_pk6_ratio,-0.0008604660640221445
o_bandfrac2,-0.0015582563535773142
