protocol,feature_set,model,seed,fold,n_train_files,n_test_files,n_train_windows,n_test_windows,n_features,fit_seconds,predict_ms_per_1k,accuracy,macro_f1,weighted_f1,n_classes,file_accuracy,file_macro_f1,n_test_files_eval,precision_B,recall_B,f1_B,precision_IR,recall_IR,f1_IR,precision_OR,recall_OR,f1_OR,precision_N,recall_N,f1_N
P1,F1,lr,0,fold0,128,33,3225,895,91,2.425556182861328,1.0788773691188023,0.8379888268156425,0.8764307980661475,0.839290537088228,4,0.8787878787878788,0.9105263157894737,33,0.7238095238095238,0.9193548387096774,0.8099467140319716,0.9259259259259259,0.8101851851851852,0.8641975308641975,0.8777777777777778,0.79,0.8315789473684211,1.0,1.0,1.0
P1,F1,lr,0,fold1,128,33,3269,851,91,1.5984442234039307,0.6382109555738653,0.8260869565217391,0.8467889444241194,0.8286559709676443,4,0.8484848484848485,0.8728307414919991,33,0.614406779661017,0.725,0.6651376146788991,0.84375,1.0,0.9152542372881356,0.9556213017751479,0.7764423076923077,0.8567639257294429,0.9047619047619048,1.0,0.95
P1,F1,lr,0,fold2,129,32,3228,892,91,3.44315242767334,0.7187304475382305,0.8374439461883408,0.8624059788503827,0.834838238709846,4,0.875,0.8969320486815416,32,0.7323943661971831,0.6724137931034483,0.701123595505618,0.8898305084745762,0.9722222222222222,0.9292035398230089,0.8536585365853658,0.847457627118644,0.850546780072904,0.9393939393939394,1.0,0.96875
P1,F1,lr,0,fold3,129,32,3396,724,91,1.549724817276001,0.7106454332889115,0.7361878453038674,0.6198171885511533,0.7281273067322518,4,0.71875,0.5156926406926408,32,0.5445026178010471,0.5652173913043478,0.5546666666666666,0.8840579710144928,0.6630434782608695,0.7577639751552795,0.7853403141361257,0.9230769230769231,0.8486562942008486,0.5384615384615384,0.22580645161290322,0.3181818181818182
P1,F1,lr,0,fold4,130,31,3362,758,91,2.812105655670166,0.6781404439880854,0.8931398416886543,0.88570596274417,0.8954930770164653,3,0.9032258064516129,0.9013366750208855,31,0.7522935779816514,0.8913043478260869,0.8159203980099502,0.9528795811518325,0.8878048780487805,0.9191919191919192,0.9484240687679083,0.8970189701897019,0.9220055710306406,,,
P1,F1,lr,1,fold0,128,33,3225,895,91,2.2043304443359375,0.8420571268603789,0.8379888268156425,0.8764307980661475,0.839290537088228,4,0.8787878787878788,0.9105263157894737,33,0.7238095238095238,0.9193548387096774,0.8099467140319716,0.9259259259259259,0.8101851851851852,0.8641975308641975,0.8777777777777778,0.79,0.8315789473684211,1.0,1.0,1.0
P1,F1,lr,1,fold1,128,33,3269,851,91,1.4746558666229248,0.6861188016683037,0.8260869565217391,0.8467889444241194,0.8286559709676443,4,0.8484848484848485,0.8728307414919991,33,0.614406779661017,0.725,0.6651376146788991,0.84375,1.0,0.9152542372881356,0.9556213017751479,0.7764423076923077,0.8567639257294429,0.9047619047619048,1.0,0.95
P1,F1,lr,1,fold2,129,32,3228,892,91,3.357891798019409,0.6818450619821591,0.8374439461883408,0.8624059788503827,0.834838238709846,4,0.875,0.8969320486815416,32,0.7323943661971831,0.6724137931034483,0.701123595505618,0.8898305084745762,0.9722222222222222,0.9292035398230089,0.8536585365853658,0.847457627118644,0.850546780072904,0.9393939393939394,1.0,0.96875
P1,F1,lr,1,fold3,129,32,3396,724,91,1.5550479888916016,1.358063840075751,0.7361878453038674,0.6198171885511533,0.7281273067322518,4,0.71875,0.5156926406926408,32,0.5445026178010471,0.5652173913043478,0.5546666666666666,0.8840579710144928,0.6630434782608695,0.7577639751552795,0.7853403141361257,0.9230769230769231,0.8486562942008486,0.5384615384615384,0.22580645161290322,0.3181818181818182
P1,F1,lr,1,fold4,130,31,3362,758,91,2.6947553157806396,0.7319261656587546,0.8931398416886543,0.88570596274417,0.8954930770164653,3,0.9032258064516129,0.9013366750208855,31,0.7522935779816514,0.8913043478260869,0.8159203980099502,0.9528795811518325,0.8878048780487805,0.9191919191919192,0.9484240687679083,0.8970189701897019,0.9220055710306406,,,
