fold,protocol,n_train_files,n_test_files,n_train_win,n_test_win,test_B,test_IR,test_OR,test_N
fold0,P1,128,33,3225,895,8,8,16,1
fold1,P1,128,33,3269,851,8,8,16,1
fold2,P1,129,32,3228,892,8,8,15,1
fold3,P1,129,32,3396,724,8,8,15,1
fold4,P1,130,31,3362,758,8,8,15,0
load0,P2,120,41,3104,1016,10,10,20,1
load1,P2,121,40,3080,1040,10,10,19,1
load2,P2,121,40,3088,1032,10,10,19,1
load3,P2,121,40,3088,1032,10,10,19,1
12k_to_48k,P3,105,52,3263,745,12,12,28,0
48k_to_12k,P3,52,105,745,3263,28,28,49,0
DE_to_FE,P4,60,45,1860,1403,12,12,21,0
FE_to_DE,P4,45,60,1403,1860,16,16,28,0
fold0,P5,43,13,646,211,3,3,6,1
fold1,P5,43,13,646,211,3,3,6,1
fold2,P5,45,11,693,164,2,2,6,1
fold3,P5,46,10,715,142,2,2,5,1
fold4,P5,47,9,728,129,2,2,5,0
