protocol,feature_set,model,macro_f1_mean,macro_f1_std,acc_mean,acc_std,n_folds,n_seeds,n_classes,fit_s
P1,raw_signal,cnn1d,0.9358963741861966,0.029017787033171975,0.9281547846385308,0.026392265587861674,5,1,4,25.060072040557863
P1,F1,hgb,0.9033489444502576,0.03228106133155409,0.8914110412556362,0.02402616357603989,5,3,4,3.9085845947265625
P1,F1,rf,0.8942106428000757,0.035109566537066865,0.8913455144108267,0.019710621050974264,5,3,4,6.300689824422201
P1,F7,rf,0.8717779107978322,0.044509485064950234,0.862115379182049,0.028977676764533635,5,3,4,3.05060183207194
P1,F7,hgb,0.8430489524405818,0.07844509320533384,0.8615752507135827,0.029959734434646217,5,3,4,1.255934731165568
P1,F6,rf,0.8400012136424512,0.040043961555703216,0.8238341979830878,0.027541237337694983,5,3,4,3.5492042700449624
P1,F1,lr,0.8182297745271946,0.10358755365588078,0.8261694833036489,0.05247150509236076,5,3,4,2.294782511393229
P1,F6,hgb,0.8086475197865212,0.08856829910643738,0.8225295895929439,0.03137917625823986,5,3,4,2.1135337511698404
P1,F1,svm,0.7682056017346818,0.1373800460090511,0.8033565981125009,0.05410406080920512,5,3,4,1.6849236488342285
P1,F2,hgb,0.7681013673067577,0.1447934067736576,0.8394937389085512,0.0399061240713603,5,3,4,3.4217821756998696
P1,F2,vote,0.7643154477021102,0.1581378176814675,0.8340750209281751,0.044668318113915875,5,1,4,10.886599063873291
P1,F2,rf,0.744490177130006,0.13922736779022096,0.81995102451676,0.04009166628144084,5,3,4,5.483949613571167
P1,F7,svm,0.730445982873435,0.09205353610833455,0.7460679858912206,0.0598420156365777,5,3,4,0.9883091290791829
P1,F7,lr,0.7276776559620657,0.06562742049720974,0.6798713558952184,0.04234969804216915,5,3,4,0.056540012359619106
P1,F6,svm,0.7008182556669458,0.12883592659044227,0.6891868332090697,0.07459110442817209,5,3,4,1.559641695022583
P1,F3,vote,0.6908864368608748,0.0992013979880904,0.805980804607727,0.024022555122238214,5,1,4,11.056389904022216
P1,F3,lr,0.6869169154111919,0.1085735248080621,0.7726189011760188,0.030481438910971867,5,3,4,2.2220634619394937
P1,F3,hgb,0.6820115373576734,0.08935586475644723,0.8039552528320791,0.025673654749154184,5,3,4,4.087632544835409
P1,F3,svm,0.6789971172475582,0.1191874452040241,0.7759239831669366,0.029753911638350134,5,3,4,2.0132970968882242
P1,F3,mlp,0.6708539366724915,0.10873393902611746,0.7797615268047926,0.029438024478255533,5,1,4,7.193739318847657
P1,F3,rf,0.6620137437105953,0.09539904166371603,0.7975010343528837,0.032780106491093974,5,3,4,5.325087483723959
P1,F6,lr,0.6485389203801076,0.07325665495266526,0.6050265550935819,0.06434330180873123,5,3,4,0.08784923553466792
P1,F2,mlp,0.6474103663015227,0.11295993936746679,0.7397158840576823,0.03698389759817456,5,1,4,8.756861972808839
P1,F2,lr,0.5815790529223032,0.1225234549244922,0.6210104508291701,0.056331969667981575,5,3,4,1.6151795069376627
P1,F2,svm,0.5581118282059432,0.14850387948355206,0.6206703491396011,0.08383134967879141,5,3,4,2.3562255064646402
P2,F1,hgb,0.9567056001743106,0.016561426494798918,0.9443547838049761,0.021311964470944373,4,3,4,3.476348419984182
P2,raw_signal,cnn1d,0.9478078371638241,0.02513268918354295,0.9368159963181107,0.02665754246238565,4,1,4,23.196835219860077
P2,F7,rf,0.9169226047145499,0.012365178139959163,0.8974789572367854,0.018740990037968582,4,3,4,2.7889230052630105
P2,F1,rf,0.9159314246594406,0.053072257065980406,0.9187631174904568,0.02188002544236249,4,3,4,5.740697165330251
P2,F7,hgb,0.9157317688546858,0.040138629008099905,0.9122029783452829,0.028088976488891266,4,3,4,1.1902102828025818
P2,F1,lr,0.8634427647991085,0.028638087935106162,0.861344149540565,0.013369011241180326,4,3,4,1.8285537362098694
P2,F6,hgb,0.8330218434520756,0.11481974284940945,0.8594952730081369,0.02829253454830446,4,3,4,1.9197155435880024
P2,F6,rf,0.8285541758746002,0.12738196387631529,0.8436836495616938,0.05234342738174571,4,3,4,3.2272162437438965
P2,F1,svm,0.8108716472383507,0.09597172842989654,0.8475510594158736,0.009971577137015086,4,3,4,1.452229619026184
P2,F2,hgb,0.7847273512257283,0.12499462797438393,0.8731964624446542,0.014637319957149363,4,3,4,3.1065658132235208
P2,F2,vote,0.7787873047550282,0.1374971798919707,0.8652109773733561,0.012122801636315803,4,1,4,10.940479815006256
P2,F7,lr,0.7776428941253505,0.038921628336691196,0.7181585391047943,0.05163143846474894,4,3,4,0.10492237408955889
P2,F7,svm,0.7593133103061942,0.14266090398195694,0.771159593003692,0.05212686130039548,4,3,4,0.9148230155309042
P2,F2,rf,0.7489642400119726,0.11466111630507414,0.8500474909889394,0.012060310148964658,4,3,4,4.985121587912242
P2,F6,svm,0.7218572614351366,0.08420935689711176,0.7228405881565788,0.032583479795815565,4,3,4,1.3396479487419128
P2,F3,vote,0.6953100711607682,0.08936110498911007,0.8431927707661319,0.01799788419850087,4,1,4,10.3614661693573
P2,F3,hgb,0.6878395610346835,0.07787460099235459,0.8400300616492706,0.016676610658424684,4,3,4,3.643686135609945
P2,F6,lr,0.6798479673587807,0.034279255103806985,0.645402745106325,0.03449235850109376,4,3,4,0.07220941781997677
P2,F3,lr,0.673613641179953,0.06109273105361066,0.7972903431793745,0.020986453287013655,4,3,4,1.5919634501139324
P2,F3,svm,0.6614291549359875,0.08615594003944717,0.7893812496380708,0.013182986898891568,4,3,4,1.7319423755009968
P2,F2,mlp,0.6449060521852459,0.1273435676696997,0.7770793716751416,0.05003425416661503,4,1,4,7.434695303440094
P2,F3,rf,0.639019727458959,0.017526002259956992,0.8208697854796325,0.010954143283808023,4,3,4,4.886206130186717
P2,F3,mlp,0.6356634220718332,0.06414771737132874,0.785385677695923,0.012561072456709054,4,1,4,5.300746917724609
P2,F2,lr,0.5972612463025181,0.10826772371867482,0.6573760646589569,0.03569004685633374,4,3,4,1.310483733812968
P2,F2,svm,0.580869392891552,0.10347849464952928,0.6740167702371282,0.02213398567445642,4,3,4,2.001514971256256
P3,F3,vote,0.6750566570005874,0.11471897430715317,0.6900217406059809,0.12895692066802247,2,1,3,5.867505788803101
P3,F3,hgb,0.673354165942841,0.09476318617520883,0.6867088178005583,0.10498912245622556,2,3,3,2.1392236153284707
P3,F2,hgb,0.6671578668338962,0.03515334195571047,0.6794924586630247,0.046726422082717704,2,3,3,1.870559295018514
P3,F1,rf,0.6667816274292021,0.14196692080655,0.6697292742641549,0.14390749365823863,2,3,3,3.1636741161346436
P3,F3,rf,0.6630157269341438,0.09638102734321242,0.6777448457760765,0.10263925938993168,2,3,3,2.8566697438557944
P3,F2,vote,0.6627193633541483,0.04794498850221415,0.6797834989417653,0.06940332459910656,2,1,3,5.794265389442443
P3,F1,hgb,0.6589193251456233,0.11637427174707177,0.6574139168673782,0.12090572117535214,2,3,3,2.097439090410868
P3,F3,svm,0.6516811618940718,0.07202877842650494,0.6748131891638404,0.09106611263950955,2,3,3,0.8640870650609335
P3,F2,rf,0.6311409847483799,0.005056344412533566,0.6385497075542264,0.009631251302067108,2,3,3,2.937760670979818
P3,F7,rf,0.6237026527140815,0.07962329500204735,0.6286193721071659,0.07873604608960764,2,3,3,1.6488855679829915
P3,F3,mlp,0.6212343867013213,0.025936761297615504,0.6386657808620964,0.04592680992356608,2,1,3,2.488524079322815
P3,F3,lr,0.6183532768178799,0.08551750610518988,0.634368257481175,0.10203909234624113,2,3,3,0.6629385948181151
P3,F7,hgb,0.6122372948538326,0.09117909238964819,0.6161156098373671,0.08674435898291973,2,3,3,0.7627009948094686
P3,F1,svm,0.6054854326285423,0.06290645396229728,0.613086939798884,0.07291539575013511,2,3,3,0.7703621784845988
